Extern;Intern;Text
275;SC202;Musikinstrumente
500;SC299;sonst. Handwerk
280;SC205;Lederwaren
315;SC299;sonst. Handwerk
250;SC399;sonst. Bekleidung
525;SC299;sonst. Handwerk
265;SC212;Wohntextilien
240;SC207;Filzwaren
405;SC213;Kosmetik/Seife
245;SC212;Wohntextilien
240;SC202;Musikinstrumente
285;SC205;Lederwaren
235;SC299;sonst. Handwerk
510;SC299;sonst. Handwerk
515;SC299;sonst. Handwerk
511;SC299;sonst. Handwerk
510;SC404;Blöcke/Hefte/Briefpapier
500;SC299;sonst. Handwerk
280;SC205;Lederwaren
280;SC205;Lederwaren
520;SC401;Karten
240;SC299;sonst. Handwerk
265;SC207;Filzwaren
520;SC402;Bücher
530;SC299;sonst. Handwerk
270;SC204;Schmuck
