Extern;Intern;Text
1903;SC299;sonst. Handwerk
610;SC204;Schmuck
604;SC204;Schmuck
1103;SC299;sonst. Handwerk
1503;SC299;sonst. Handwerk
1003;SC299;sonst. Handwerk
104;SC199;sonst. Lebensmittel
1108;SC499;sonst. Schreibwaren
9902;SC299;sonst. Handwerk
305;SC106;Honig/Marmelade
1702;SC299;sonst. Handwerk
2005;SC299;sonst. Handwerk
1000;SC206;Keramik
601;SC204;Schmuck
1006;SC299;sonst. Handwerk
1001;SC206;Keramik
1404;SC205;Lederwaren
608;SC204;Schmuck
2006;SC499;sonst. Schreibwaren
1007;SC206;Keramik
605;SC204;Schmuck
1602;SC299;sonst. Handwerk
1501;SC299;sonst. Handwerk
606;SC204;Schmuck
904;SC299;sonst. Handwerk
609;SC204;Schmuck
1906;SC203;Kerzen
406;SC204;Schmuck
611;SC204;Schmuck
201;SC102;Tee
603;SC204;Schmuck
405;SC204;Schmuck
600;SC204;Schmuck
1104;SC499;sonst. Schreibwaren
701;SC204;Schmuck
401;SC204;Schmuck
9901;SC299;sonst. Handwerk
1301;SC212;Wohntextilien
403;SC204;Schmuck
607;SC204;Schmuck
1303;SC212;Wohntextilien
801;SC212;Wohntextilien
1402;SC201;Körbe
1604;SC207;Filzwaren
1005;SC299;sonst. Handwerk
804;SC299;sonst. Handwerk
1401;SC201;Körbe
1008;SC206;Keramik
1004;SC299;sonst. Handwerk
802;SC209;Lampen
303;SC101;Süßwaren
1101;SC299;sonst. Handwerk
501;SC204;Schmuck
1201;SC303;Pullover
1500;SC299;sonst. Handwerk
102;SC103;Kaffee
901;SC203;Kerzen
1800;SC299;sonst. Handwerk
1105;SC299;sonst. Handwerk
1403;SC205;Lederwaren
1203;SC305;Tücher/Schals
905;SC299;sonst. Handwerk
208;SC102;Tee
1102;SC299;sonst. Handwerk
